quote,author,book,tags,likes
"“You have learned much, Karsa Orlong.""
""I have, T'lan Imass. As you shall witness.”",Steven Erikson,House of Chains,"karsa-orlong, malazan, malazan-book-of-the-fallen, steven-erikson",20
"“To achieve peace, destruction is delivered. To give the gift of freedom, one promises eternal imprisonment. Adjudication obviates the need for justice. This is a studied, deliberate embrace of diametric opposition. It is a belief in balance, a belief asserted with the conviction of religion. But in this case, the proof of a god’s power lies not in the cause but in the effect. Accordingly, in this world and in all others, proof is achieved by action, and therefore all action— including the act of choosing inaction— is inherently moral. No deed stands outside the moral context. At the same time, the most morally perfect act is the one taken in opposition to what has occurred before.”",Steven Erikson,Midnight Tides,,19
"“The beast that was civilization ever faced forward, and in making its present world it devoured the world to come. It was an appalling truth that one’s own children could be so callously sacrificed to immediate comforts, yet this was so and it had always been so.”",Steven Erikson,Dust of Dreams,,19
"“The stars, they are as the sun. Each star. Every star. And those spheres- they are worlds, realms, each one different yet the same.”",Steven Erikson,House of Chains,science,19
"“It’s the ignorant who find a cause and cling to it, for within that is the illusion of significance. Faith, a king, queen or Emperor, or vengeance…all the bastion of fools.”",Steven Erikson,Deadhouse Gates,,19
“The curse of climbing is discovering how great the distance yet to climb.”,Steven Erikson,Gardens of the Moon,,19
"“Oh, we talk of progress, but what we really desire is the perpetuation of the present”",Steven Erikson,Midnight Tides,,19
"“In that Malazan Book of the Fallen, the historians will write of our suffering, and they will speak of it as the suffering of those who served the Crippled God. As something … fitting. And for our seeming fanaticism they will dismiss all that we were, and think only of what we achieved. Or failed to achieve.
And in so doing, they will miss the whole fucking point.”",Steven Erikson,The Crippled God,,19
"“
There were tears on his cheeks, dripping down onto his chafed hands. He knew the answer to that question, knife-sharp and driven deep, and the answer was…recognition.”",Steven Erikson,Midnight Tides,"fallen, midnight-tides, philosophy, udinaas",19
"“We are contrary creatures, us humans, but that isn’t something we need be afraid of, or even much troubled by. And if you make a list of those people who worship consistency, you’ll find they’re one and all tyrants or would-be tyrants. Ruling over thousands, or over a husband or a wife, or some cowering child. Never fear contradiction, Cutter, it is the very heart of diversity.”",Steven Erikson,The Bonehunters,,18
"“Death. Now, that was an interesting notion. One that, perhaps, he should have been more familiar with than any other being, but the truth was, he knew nothing about it at all. The Jaghut went to war against death. So many met that notion with disbelief, or confusion. They could not understand.
Who is the enemy? The enemy is surrender. Where is the battlefield? In the heart of despair. How is victory won? It lies within reach. All you need do is choose to recognize it. Failing that, you can always cheat. Which is what I did. How did I defeat death? By taking its throne.”",Steven Erikson,The Crippled God,,18
"“Compassion. Love. It was not civilization that birthed these gentle gifts - though its followers might claim otherwise. Nor was civilization the sweetest garden for such things to blossom in - though those trapped within it might imagine it so. No, as far as [Karsa] could see, civilization was a madman's mechanism that, for all its good intentions, ended up ensnaring the gentle gifts, stifling them, leaving them to wander mazes only to die alone and in the dark.”",Steven Erikson,The Crippled God,,18
"“As they walked, Tehol spoke. ‘…the assumption is the foundation stone of Letherii society, perhaps all societies the world over. The notion of inequity, my friends. For from inequity derives the concept of value, whether measured by money or the countless other means of gauging human worth. Simply put, there resides in all of us the unchallenged belief that the poor and the starving are in some way deserving of their fate. In other words, there will always be poor people. A truism to grant structure to the continual task of comparison, the establishment through observation of not our mutual similarities, but our essential differences. ‘I know what you’re thinking, to which I have no choice but to challenge you both. Like this. Imagine walking down this street, doling out coins by the thousands. Until everyone here is in possession of vast wealth. A solution? No, you say, because among these suddenly rich folk there will be perhaps a majority who will prove wasteful, profligate and foolish, and before long they will be poor once again. Besides, if wealth were distributed in such a fashion, the coins themselves would lose all value—they would cease being useful. And without such utility, the entire social structure we love so dearly would collapse. ‘Ah, but to that I say, so what? There are other ways of measuring self-worth. To which you both heatedly reply: with no value applicable to labour, all sense of worth vanishes! And in answer to that I simply smile and shake my head. Labour and its product become the negotiable commodities. But wait, you object, then value sneaks in after all! Because a man who makes bricks cannot be equated with, say, a man who paints portraits. Material is inherently value-laden, on the basis of our need to assert comparison—but ah, was I not challenging the very assumption that one must proceed with such intricate structures of value? ‘And so you ask, what’s your point, Tehol? To which I reply with a shrug. Did I say my discourse was a valuable means of using this time? I did not. No, you assumed it was. Thus proving my point!’ ‘I’m sorry, master,’ Bugg said, ‘but what was that point again?’ ‘I forget. But we’ve arrived. Behold, gentlemen, the poor.”",Steven Erikson,Midnight Tides,,18
"“When robbed, the rich cry out for protection and prosecution. When stealing, they expect the judiciary to look the other way.”",Steven Erikson,Dust of Dreams,,18
"“When one does not know what one seeks, caution is the surest armour.”  
  ―",Steven Erikson,Midnight Tides,,18
"“Show me a mortal who is not pursued, and I’ll show you a corpse. Every hunter is hunted, every mind that knows itself has stalkers. We drive and are driven. The unknown pursues the ignorant, the truth assails every scholar wise enough to know his ignorance, for that is the meaning of unknowable truths.”",Steven Erikson,Deadhouse Gates,,18
